deal_id,company_name,country,city,date,stage,amount_usd,disclosed,sector,description,founded_year,website,lead_investor,co_investors,investor_types,source,notes
GCC0109,Mumzworld,UAE,,2018-10,Series B,20000000,TRUE,E-commerce & Retail,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s Mumzworld raises $20 million Series B to accelerate expansion of its baby products ecommerce p | https://news.google.com/rss/articles/CBMiWEFVX3lxTE5LWDFmRFFIM0w5ZGhMZGw2eWpGX0F
GCC0110,Sarwa,UAE,Dubai,2018-09,Seed,1300000,TRUE,Fintech,,,,Shorooq Partners,"500 Global, MEVP, HALA Ventures",VC,Perplexity — Fund Portfolio Research,
GCC0111,The Luxury Closet,UAE,Dubai,2018-07,Growth,8700000,TRUE,E-commerce & Retail,Online luxury resale marketplace,,,MEVP,"Wamda Capital, Precinct Partners, TechInvest, Saned, Equitrust",VC,Perplexity — Fund Portfolio Research,
GCC0112,Enhance,UAE,Dubai,2018-02,Seed,1500000,TRUE,E-commerce & Retail,,,,,,,News — Google News — raises million Gulf,REVIEW | Dubai-based Enhance raises $1.5 million in seed funding for its gifting platform ‘joi’ - MENAbytes | https://news.google.com/rss/articles/CBMiUEFVX3lxTE51NFFQXzJPamVHdE1STDY4eXhnMGd
GCC0113,Trukker,UAE,,2017-12,Seed,,FALSE,Deep Tech & AI,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s Trukker raises $1.4 mln in Saudi-led seed funding round - ارقام | https://news.google.com/rss/articles/CBMiaEFVX3lxTE8ySkgyQWpGbHYycDZPRTlwRnk5MzJ
GCC0114,Justmop,UAE,,2017-11,Series A,,FALSE,E-commerce & Retail,,,,,,,News — Google News — Series A GCC,"REVIEW | Justmop, a UAE-based on-demand cleaning services marketplace raises Series A funding - MENAbytes | https://news.google.com/rss/articles/CBMiVkFVX3lxTE1Lald6UTdSNFhRUm5OVHpqWEhTaVh"
GCC0115,The Luxury Closet,UAE,Dubai,2016-11,Series B,7800000,TRUE,E-commerce & Retail,Online luxury resale marketplace,,,Wamda Capital,"MEVP, Equitrust, Saned Partners, Arzan VC",VC,Perplexity — Fund Portfolio Research,
GCC0116,Careem,UAE,Dubai,2015-11,Series C+,60000000,TRUE,Logistics & Supply Chain,,,,The Abraaj Group,"BECO Capital, Wamda Capital, Arzan VC",VC,Perplexity — Fund Portfolio Research,
GCC0117,MealPlanet,UAE,,,Seed,,FALSE,Media & Entertainment,,,,,,,News — Google News — seed GCC 2024,REVIEW | UAE Startup MealPlanet Secures USD 6M in Seed Funding - waya.media | https://news.google.com/rss/articles/CBMifkFVX3lxTFAwcTdtNVMyNk91U2tReEpybzJtU2N
GCC0118,Pluto,UAE,,,Seed,,FALSE,Deep Tech & AI,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s Pluto Raises USD 4.1 M in a Pre-Series A Funding Round - waya.media | https://news.google.com/rss/articles/CBMihgFBVV95cUxOaVRaTjNYN1UzQnUyb0Z0Vk45OWI
GCC0119,Slide,Saudi Arabia,,,Pre-Seed,1750000,TRUE,SaaS & Enterprise Software,,,,,,,News — Google News — GCC venture,"REVIEW | Slide, Saudi Arabia’s SaaS startup, raises $1.75m in a pre-seed round - waya.media | https://news.google.com/rss/articles/CBMijgFBVV95cUxONHh2YWViZ0dLWU1SVWp1RVd5a3p"
